id,label
1174,0.999993
4800,0.011306
10003,0.992744
4269,0.000058
10554,0.960544
9949,0.002634
10004,0.211006
2571,0.000268
8654,0.999592
10162,0.999650
505,0.001885
2096,0.000675
1543,0.702815
2974,0.993140
9102,0.728367
9884,0.000301
9551,0.978303
6819,0.999481
7411,0.038120
9837,0.996225
3972,0.765633
3608,0.980110
4711,0.999932
8935,0.999441
7402,0.001109
7323,0.937407
1694,0.031512
11479,0.000829
9665,0.000020
11313,0.000063
9097,0.000146
9104,0.966547
10657,0.005957
237,0.000097
1357,0.220430
9782,0.000920
8418,0.105238
3053,0.022663
8945,0.000394
3930,0.000559
5234,0.992564
1396,0.000520
4435,0.000134
7325,0.000126
7454,0.999524
3633,0.961182
1206,0.006336
9295,0.990039
6904,0.001267
3522,0.980788
10295,0.000256
3679,0.020300
4964,0.000976
7636,0.020165
9620,0.010139
11454,0.029768
2928,0.999828
1795,0.001180
1011,0.003079
7976,0.003798
3469,0.985940
6628,0.998658
184,0.001852
5435,0.298668
12251,0.004848
4791,0.874609
11821,0.999812
6592,0.998986
1488,0.000597
6053,0.022593
8593,0.000058
10775,0.000031
2123,0.998917
1269,0.205682
8589,0.999944
3832,0.001225
8728,0.974287
4465,0.993702
7522,0.000894
9427,0.998187
7609,0.971418
6777,0.000304
5594,0.340526
7782,0.003954
5949,0.000217
700,0.911116
2665,0.000070
6930,0.001486
8987,0.393076
11024,0.998942
7637,0.999595
8386,0.000084
7547,0.999931
878,0.503946
7111,0.998419
2659,0.955891
4714,0.950480
624,0.000578
2892,0.999879
8783,0.001392
8576,0.000108
4510,0.000065
1779,0.001057
3046,0.000053
7318,0.016468
4429,0.998554
2836,0.008624
12137,0.000199
2859,0.001535
2991,0.000202
464,0.000134
4394,0.007869
2857,0.000526
5492,0.015399
3816,0.998854
6016,0.999979
1523,0.000218
6494,0.002671
3010,0.000268
11387,0.994017
9653,0.000088
2808,0.000843
12009,0.998608
1431,0.994646
1027,0.000218
4659,0.009399
7399,0.994526
7723,0.963330
3449,0.000001
10964,0.000042
11476,0.000508
10905,0.998849
11978,0.940505
2981,0.891124
5151,0.001721
1634,0.906776
10577,0.000216
11135,0.000360
11961,0.301238
12340,0.000467
11023,0.999993
12046,0.957453
24,0.999489
12398,0.001802
11082,0.236052
6989,0.000469
1602,0.986957
10018,0.002532
6327,0.999038
11649,0.993299
7068,0.998648
8297,0.005122
9019,0.000014
9524,0.000234
9433,0.999105
7267,0.576529
6766,0.894569
8774,0.000518
11585,0.999809
96,0.000143
8122,0.992478
469,0.980798
713,0.999597
2584,0.000082
9772,0.996381
129,0.000422
8134,0.916711
7634,0.001425
5410,0.953178
9061,0.999616
1526,0.999064
6285,0.549061
12469,0.001100
4929,0.999997
8085,0.000063
6688,0.975390
7537,0.996364
11591,0.003031
10305,0.987218
11407,0.005960
300,0.000331
11301,0.000968
11458,0.995472
3283,0.188512
1646,0.004315
5712,0.000186
2471,0.939719
11769,0.000392
6643,0.924697
1449,0.981022
7732,0.997362
6403,0.004902
563,0.000061
3167,0.000834
2419,0.000016
3612,0.000060
3705,0.000058
4019,0.000341
5798,0.999558
6775,0.978627
5963,0.000125
3264,0.950296
2033,0.869627
6854,0.987162
853,0.831899
5795,0.997396
4698,0.910789
3389,0.000055
6926,0.996350
11919,0.000620
6111,0.937828
6043,0.000040
2855,0.999793
6513,0.000551
4546,0.998669
9287,0.999867
5542,0.000149
8424,0.996334
7819,0.000202
98,0.994266
11060,0.001985
6482,0.999526
9114,0.000928
10939,0.009509
8998,0.335502
9220,0.046312
6489,0.072224
10304,0.991032
5952,0.993683
3058,0.002150
3273,0.892439
519,0.000111
7212,0.330981
7793,0.000019
2193,0.008681
7115,0.003403
3218,0.000523
9133,0.999929
9993,0.000615
3707,0.985922
1990,0.998258
9354,0.999248
5884,0.985591
5020,0.010781
406,0.969218
9572,0.868648
705,0.464055
273,0.273168
1279,0.996280
7342,0.001389
12429,0.598535
9434,0.000360
1158,0.998228
10909,0.999864
763,0.975447
3937,0.251828
998,0.999845
6084,0.973795
12293,0.998797
4599,0.997221
11803,0.044160
10712,0.999992
943,0.001725
10199,0.000197
8365,0.011921
3044,0.968276
3748,0.015263
6695,0.023563
10777,0.989634
3414,0.999691
2772,0.024150
10997,0.000054
8322,0.016048
3922,0.846831
8719,0.999201
1662,0.933108
392,0.029215
8922,0.000169
474,0.074444
8309,0.091348
9909,0.001931
9393,0.994006
8215,0.750427
4780,0.999683
5082,0.000453
11882,0.982460
6228,0.004188
4568,0.000329
2485,0.000038
2861,0.974959
10570,0.691727
8942,0.000277
8012,0.761392
11402,0.999290
8366,0.000057
603,0.000450
3629,0.012101
2695,0.999846
166,0.000359
187,0.000175
3487,0.049780
4875,0.784388
11174,0.376715
952,0.000316
3578,0.000200
5831,0.992673
435,0.999937
8502,0.000279
5195,0.000013
11659,0.001610
7098,0.666390
12019,0.000004
4001,0.984560
11150,0.000504
3126,0.001430
12472,0.741914
11549,0.019811
10273,0.000985
30,0.964868
5639,0.168736
2232,0.999065
9269,0.996400
2999,0.000103
1775,0.001778
10830,0.000177
176,0.940524
11885,0.000128
9797,0.998783
2912,0.999912
3217,0.770587
5747,0.635067
8682,0.002419
10743,0.988967
3314,0.999990
6036,0.001080
5120,0.999145
11207,0.000165
11235,0.997385
9381,0.701799
501,0.807391
6418,0.000336
2629,0.999713
9319,0.935589
7720,0.003040
5421,0.968903
8391,0.000414
4130,0.997569
6030,0.971626
11355,0.000005
3198,0.161792
5391,0.992596
10175,0.002133
9002,0.000234
2333,0.999868
3365,0.944300
3390,0.000391
8296,0.000639
8947,0.999894
6981,0.000011
2741,0.002114
4683,0.000026
12212,0.000046
5058,0.004805
8351,0.001127
4346,0.000392
8522,0.000714
10231,0.999853
