iter	RMSE
0	8.599203367
1	8.077268046
2	7.61052496
3	7.22353425
4	6.864297111
5	6.481038065
6	6.182789181
7	5.894888089
8	5.640197137
9	5.408218654
10	5.173301216
11	4.950866406
12	4.748038494
13	4.559936727
14	4.412587663
15	4.248311031
16	4.080585424
17	3.954441758
18	3.822484932
19	3.716716597
20	3.638079023
21	3.550708274
22	3.462115384
23	3.380591792
24	3.318935501
25	3.255666055
26	3.185833342
27	3.127887546
28	3.060758126
29	3.022791906
30	2.978936125
31	2.933337538
32	2.89197916
33	2.860875626
34	2.835551748
35	2.802615442
36	2.777410279
37	2.733126497
38	2.711106202
39	2.660934175
40	2.640301263
41	2.612471749
42	2.591954877
43	2.576138456
44	2.54522428
45	2.515903965
46	2.492221135
47	2.46625189
48	2.450746416
49	2.432548021
50	2.408603142
51	2.39181769
52	2.36166391
53	2.340249843
54	2.327861279
55	2.309241685
56	2.293707237
57	2.278722375
58	2.264345391
59	2.248476776
60	2.235798848
61	2.219019838
62	2.203080004
63	2.185298731
64	2.174423972
65	2.158943102
66	2.149618888
67	2.133574348
68	2.115451757
69	2.099662955
70	2.089637618
71	2.077005244
72	2.060490038
73	2.045891446
74	2.034572952
75	2.018225325
76	2.00837466
77	1.999826912
78	1.988552066
79	1.975978083
80	1.966446504
81	1.951887014
82	1.938988349
83	1.927985032
84	1.918946674
85	1.908836786
86	1.895536735
87	1.884589863
88	1.877935822
89	1.868920761
90	1.85933142
91	1.846577061
92	1.837220719
93	1.8309407
94	1.824718308
95	1.819378943
96	1.809560785
97	1.803160075
98	1.794213646
99	1.786417166
