iter	Passed	Remaining
0	48	4800
1	50	2477
2	52	1711
3	55	1327
4	57	1092
5	59	938
6	62	823
7	64	740
8	67	677
9	69	629
10	72	585
11	74	549
12	77	518
13	79	490
14	83	470
15	85	450
16	92	449
17	94	432
18	98	418
19	101	404
20	103	391
21	106	376
22	108	362
23	110	349
24	112	338
25	114	327
26	117	318
27	120	309
28	122	300
29	124	291
30	127	283
31	130	277
32	132	269
33	134	262
34	137	255
35	140	249
36	142	242
37	145	236
38	147	230
39	150	225
40	152	220
41	155	214
42	157	208
43	160	204
44	163	199
45	165	194
46	169	190
47	173	187
48	177	185
49	180	180
50	183	176
51	186	171
52	189	167
53	191	163
54	194	159
55	197	155
56	200	151
57	202	146
58	205	142
59	208	138
60	210	134
61	213	131
62	216	127
63	218	123
64	221	119
65	224	115
66	226	111
67	229	108
68	232	104
69	234	100
70	237	97
71	240	93
72	243	89
73	245	86
74	247	82
75	250	79
76	252	75
77	256	72
78	260	69
79	263	65
80	266	62
81	268	58
82	271	55
83	273	52
84	275	48
85	278	45
86	280	41
87	283	38
88	285	35
89	287	31
90	290	28
91	292	25
92	294	22
93	297	18
94	299	15
95	302	12
96	304	9
97	307	6
98	313	3
99	315	0
