iter	MultiClass
0	2.248156046
1	2.200278162
2	2.160567791
3	2.124752619
4	2.090105082
5	2.056147717
6	2.02693509
7	1.999211851
8	1.972645459
9	1.948514576
10	1.926429996
11	1.903408695
12	1.883458212
13	1.863692689
14	1.843411352
15	1.824936753
16	1.806951261
17	1.787904911
18	1.769911313
19	1.752234241
20	1.736351863
21	1.719710383
22	1.706100534
23	1.691123949
24	1.677826246
25	1.665234919
26	1.65341376
27	1.640597908
28	1.629647565
29	1.618112601
30	1.606913537
31	1.595075119
32	1.585471581
33	1.575452612
34	1.565422743
35	1.555760752
36	1.546031448
37	1.537305471
38	1.529137448
39	1.521022024
40	1.512407152
41	1.504583311
42	1.496089035
43	1.489154227
44	1.482311111
45	1.475066389
46	1.467768789
47	1.460445121
48	1.453331191
49	1.446338681
50	1.439737636
51	1.43368696
52	1.427476751
53	1.421417619
54	1.414789988
55	1.408437303
56	1.402795508
57	1.396704807
58	1.392233341
59	1.3862379
60	1.381015378
61	1.375156653
62	1.370029529
63	1.36437045
64	1.359137286
65	1.354421225
66	1.349823112
67	1.344722398
68	1.340261548
69	1.33559116
70	1.330643518
71	1.326303526
72	1.321888554
73	1.316893169
74	1.312313486
75	1.30817841
76	1.30481013
77	1.300598267
78	1.296425561
79	1.292353766
80	1.288352204
81	1.284316483
82	1.28080278
83	1.277849445
84	1.274193818
85	1.270583379
86	1.2671692
87	1.26376412
88	1.260332223
89	1.256927935
90	1.253339048
91	1.250546435
92	1.247775583
93	1.245132173
94	1.242277525
95	1.239046375
96	1.236197846
97	1.233154425
98	1.230455075
99	1.227612856
100	1.224595373
101	1.22218829
102	1.21979009
103	1.217295804
104	1.21485624
105	1.212020578
106	1.209591515
107	1.206590601
108	1.203954743
109	1.201559156
110	1.199353784
111	1.196783825
112	1.194620319
113	1.192522076
114	1.190276588
115	1.188087911
116	1.185949799
117	1.183392731
118	1.181305401
119	1.17926203
120	1.177507603
121	1.175646496
122	1.173717478
123	1.171599216
124	1.169965368
125	1.168092579
126	1.166158297
127	1.164151502
128	1.162630204
129	1.160473393
130	1.158787152
131	1.156995864
132	1.155671154
133	1.15412611
134	1.152240641
135	1.150457082
136	1.148809297
137	1.147208045
138	1.145557259
139	1.144084554
140	1.142708684
141	1.141507661
142	1.139779062
143	1.138236143
144	1.136540502
145	1.135038037
146	1.133559271
147	1.132094843
148	1.130563074
149	1.128981412
150	1.127301044
151	1.125980068
152	1.124343066
153	1.122865733
154	1.121295672
155	1.119753046
156	1.118412814
157	1.116900929
158	1.115478676
159	1.114067879
160	1.112900602
161	1.111284468
162	1.110250596
163	1.108824638
164	1.107764051
165	1.106848507
166	1.105541274
167	1.104473588
168	1.103205949
169	1.101902647
170	1.100645648
171	1.099297948
172	1.09802694
173	1.096923264
174	1.095930987
175	1.094414361
176	1.093377298
177	1.092276415
178	1.091231236
179	1.090358769
180	1.089274751
181	1.088232278
182	1.087221558
183	1.086103244
184	1.084832715
185	1.083645163
186	1.082672517
187	1.081725141
188	1.080722154
189	1.079394121
190	1.078324893
191	1.077086801
192	1.076034251
193	1.074915105
194	1.073715013
195	1.072859958
196	1.071868221
197	1.070776833
198	1.069822674
199	1.068701414
200	1.067688691
201	1.066939317
202	1.066067639
203	1.065223173
204	1.064261065
205	1.063461668
206	1.062080749
207	1.061109647
208	1.060133811
209	1.059043524
210	1.058164096
211	1.057486358
212	1.056569704
213	1.055593823
214	1.054818155
215	1.054189548
216	1.053368273
217	1.052460661
218	1.051490484
219	1.050417481
220	1.04955806
221	1.048756675
222	1.047752609
223	1.04674832
224	1.045845393
225	1.045101725
226	1.044360515
227	1.043489633
228	1.042677394
229	1.041869928
230	1.041125124
231	1.040347739
232	1.039489173
233	1.038695228
234	1.037935031
235	1.037122263
236	1.036346156
237	1.035424831
238	1.034575914
239	1.033891528
240	1.03328298
241	1.0326495
242	1.032036657
243	1.031218848
244	1.030509539
245	1.029876944
246	1.029221904
247	1.02823176
248	1.027581812
249	1.026836501
250	1.025993085
251	1.025207371
252	1.024413722
253	1.02374948
254	1.0231979
255	1.022652659
256	1.022099612
257	1.021355046
258	1.020670736
259	1.019972256
260	1.019185298
261	1.018639076
262	1.017982945
263	1.017400385
264	1.016794244
265	1.016191025
266	1.01547427
267	1.0149158
268	1.014301188
269	1.013582491
270	1.013143917
271	1.012322374
272	1.011826549
273	1.011337374
274	1.010779841
275	1.01005421
276	1.009505368
277	1.008712895
278	1.008171013
279	1.007514541
280	1.006909824
281	1.006367889
282	1.005868431
283	1.005154943
284	1.004694286
285	1.004145569
286	1.003447189
287	1.002977944
288	1.002497436
289	1.001834238
290	1.001250632
291	1.000714988
292	1.000196878
293	0.9998443587
294	0.9994570657
295	0.9990180674
296	0.9985133429
297	0.9980096589
298	0.9974232574
299	0.9966856465
300	0.9963376597
301	0.9957153924
302	0.9952772493
303	0.9946695161
304	0.994165128
305	0.9936315584
306	0.9930185785
307	0.9925106724
308	0.9920736108
309	0.9916356566
310	0.9911444847
311	0.990586646
312	0.9901850845
313	0.9894728162
314	0.9887588562
315	0.9882714994
316	0.987758331
317	0.9872754094
318	0.9869451602
319	0.9864752771
320	0.9860498561
321	0.9855140154
322	0.9850418199
323	0.9844596864
324	0.983940526
325	0.9832577706
326	0.9827285735
327	0.9823076015
328	0.9818011828
329	0.9812377552
330	0.9807973012
331	0.9802452256
332	0.979875255
333	0.97952398
334	0.9789883185
335	0.9785864996
336	0.9780448033
337	0.9776948234
338	0.9773408964
339	0.9770735619
340	0.9766186687
341	0.9762141097
342	0.9755864935
343	0.9752563907
344	0.9749345905
345	0.974473155
346	0.9741209438
