iter	Passed	Remaining
0	323	322696
1	661	330000
2	987	328090
3	1336	332770
4	1676	333572
5	2003	331979
6	2341	332139
7	2678	332101
8	2995	329846
9	3315	328216
10	3644	327634
11	3964	326419
12	4292	325888
13	4652	327634
14	4976	326808
15	5300	325965
16	5637	325953
17	5987	326664
18	6329	326819
19	6673	326990
20	7009	326773
21	7348	326659
22	7668	325727
23	7983	324653
24	8296	323564
25	8620	322925
26	8932	321908
27	9252	321196
28	9624	322255
29	9951	321765
30	10311	322306
31	10650	322192
32	10993	322133
33	11341	322224
34	11722	323203
35	12050	322693
36	12433	323612
37	12812	324370
38	13140	323801
39	13470	323292
40	13782	322373
41	14112	321910
42	14478	322228
43	14809	321779
44	15152	321572
45	15511	321693
46	15878	321965
47	16225	321798
48	16612	322419
49	16946	321986
50	17328	322442
51	17676	322261
52	18089	323222
53	18473	323634
54	18846	323812
55	19191	323520
56	19540	323282
57	19866	322664
58	20188	321989
59	20548	321928
60	20860	321110
61	21220	321038
62	21569	320806
63	21918	320555
64	22260	320212
65	22621	320134
66	22959	319718
67	23309	319479
68	23623	318745
69	23987	318697
70	24326	318298
71	24654	317765
72	24960	316958
73	25338	317075
74	25715	317158
75	26078	317062
76	26410	316583
77	26809	316896
78	27186	316946
79	27573	317100
80	27906	316621
81	28212	315843
82	28555	315491
83	28905	315210
84	29255	314932
85	29600	314587
86	29948	314287
87	30280	313811
88	30594	313161
89	30915	312588
90	31225	311908
91	31578	311661
92	31913	311246
93	32253	310869
94	32608	310642
95	32944	310227
96	33292	309928
97	33689	310084
98	34036	309762
99	34388	309493
100	34796	309723
101	35204	309940
102	35591	309959
103	35920	309472
104	36225	308781
105	36627	308914
106	37024	309002
107	37418	309052
108	37769	308738
109	38074	308057
110	38441	307875
111	38821	307799
112	39216	307831
113	39595	307734
114	39933	307312
115	40256	306778
116	40623	306582
117	41026	306657
118	41429	306718
119	41751	306177
120	42090	305767
121	42420	305285
122	42800	305169
123	43229	305394
124	43605	305239
125	43928	304708
126	44338	304782
127	44693	304477
128	45018	303959
129	45368	303620
130	45674	302985
131	46003	302509
132	46362	302224
133	46702	301824
134	47067	301579
135	47411	301200
136	47807	301150
137	48196	301054
138	48581	300926
139	48906	300424
140	49230	299924
141	49571	299521
142	49939	299287
143	50273	298846
144	50652	298674
145	51046	298586
146	51438	298481
147	51778	298077
148	52113	297642
149	52451	297226
150	52841	297100
151	53230	296967
152	53582	296627
153	53900	296103
154	54219	295584
155	54620	295509
156	55000	295319
157	55389	295178
158	55716	294703
159	56070	294367
160	56435	294094
161	56815	293896
162	57198	293712
163	57608	293663
164	57939	293210
165	58273	292772
166	58717	292885
167	59181	293088
168	59576	292946
169	59935	292627
170	60345	292552
171	60746	292431
172	61071	291941
173	61394	291447
174	61783	291265
175	62256	291473
176	62634	291231
177	62975	290817
178	63325	290447
179	63758	290456
180	64167	290347
181	64568	290203
182	64954	289986
183	65272	289467
184	65661	289263
185	66055	289079
186	66455	288919
187	66796	288504
188	67150	288141
189	67553	287991
190	67946	287795
191	68319	287509
192	68656	287076
193	68977	286575
194	69304	286103
195	69652	285716
196	70019	285407
197	70426	285264
198	70813	285033
199	71194	284778
200	71552	284431
201	71860	283883
202	72192	283435
203	72567	283154
204	72905	282729
205	73237	282283
206	73626	282056
207	74029	281880
208	74418	281652
209	74754	281219
210	75067	280703
211	75405	280279
212	75800	280069
213	76226	279972
214	76627	279780
215	76966	279358
216	77354	279116
217	77738	278859
218	78114	278573
219	78492	278289
220	78829	277865
221	79181	277491
222	79561	277215
223	79943	276946
224	80378	276859
225	80713	276427
226	81063	276045
227	81420	275686
228	81806	275428
229	82227	275284
230	82602	274984
231	82998	274754
232	83321	274281
233	83729	274089
234	84135	273888
235	84517	273609
236	84844	273150
237	85168	272682
238	85544	272381
239	85934	272124
240	86316	271842
241	86782	271822
242	87199	271646
243	87708	271753
244	88240	271923
245	88608	271590
246	88948	271168
247	89294	270762
248	89641	270365
249	90017	270053
250	90398	269755
251	90729	269307
252	91062	268867
253	91410	268473
254	91873	268415
255	92350	268393
256	92696	267991
257	93012	267500
258	93353	267086
259	93792	266947
260	94145	266563
261	94534	266283
262	94848	265793
263	95148	265261
264	95490	264850
265	95851	264493
266	96243	264217
267	96597	263841
268	96949	263456
269	97337	263171
270	97907	263373
271	98508	263654
272	98937	263470
273	99371	263298
274	99855	263255
275	100315	263146
276	100739	262940
277	101158	262720
278	101690	262791
279	102263	262962
280	102795	263024
281	103201	262761
282	103636	262569
283	103998	262192
284	104444	262026
285	104848	261754
286	105179	261299
287	105506	260836
288	105824	260349
289	106234	260092
290	106620	259771
291	106973	259373
292	107324	258969
293	107693	258610
294	108072	258275
295	108455	257947
296	108865	257684
297	109231	257317
298	109604	256964
299	109948	256546
300	110344	256248
301	110805	256099
302	111129	255635
303	111462	255190
304	111779	254710
305	112129	254305
306	112547	254056
307	112933	253734
308	113280	253323
309	113625	252908
310	113976	252508
311	114319	252090
312	114652	251650
313	115032	251312
314	115460	251081
315	115827	250715
316	116146	250246
317	116465	249779
318	116779	249299
319	117134	248911
320	117556	248664
321	117936	248325
322	118277	247907
323	118587	247424
324	118940	247030
