ImageId,Label
1,3
2,5
3,9
4,0
5,3
6,7
7,0
8,3
9,8
10,3
11,5
12,6
13,9
14,8
15,4
16,5
17,3
18,1
19,9
20,0
21,9
22,1
23,1
24,5
25,7
26,1
27,8
28,7
29,4
30,7
31,7
32,5
33,4
34,7
35,6
36,2
37,3
38,3
39,1
40,5
41,7
42,7
43,4
44,9
45,8
46,2
47,8
48,3
49,4
50,7
51,4
52,8
53,0
54,3
55,8
56,5
57,1
58,0
59,5
60,3
61,6
62,1
63,7
64,0
65,0
66,6
67,1
68,9
69,8
70,1
71,8
72,3
73,8
74,8
75,8
76,6
77,5
78,9
79,3
80,3
81,5
82,4
83,1
84,0
85,9
86,2
87,4
88,0
89,6
90,9
91,5
92,8
93,6
94,6
95,7
96,4
97,3
98,2
99,7
100,4
101,8
102,9
103,6
104,3
105,4
106,3
107,0
108,5
109,0
110,3
111,0
112,0
113,4
114,7
115,1
116,7
117,1
118,1
119,5
120,3
121,3
122,7
123,5
124,6
125,7
126,3
127,3
128,7
129,3
130,7
131,2
132,3
133,4
134,8
135,6
136,6
137,3
138,1
139,8
140,8
141,2
142,3
143,4
144,5
145,5
146,6
147,7
148,7
149,7
150,8
151,9
152,3
153,5
154,6
155,2
156,8
157,7
158,5
159,7
160,8
161,3
162,6
163,4
164,2
165,1
166,5
167,7
168,8
169,3
170,0
171,5
172,7
173,8
174,6
175,1
176,3
177,7
178,2
179,1
180,3
181,4
182,9
183,5
184,0
185,6
186,9
187,2
188,1
189,6
190,0
191,6
192,1
193,7
194,2
195,6
196,8
197,9
198,7
199,6
200,9
201,1
202,9
203,8
204,9
205,9
206,6
207,8
208,4
209,7
210,3
211,9
212,4
213,3
214,6
215,5
216,8
217,1
218,6
219,3
220,4
221,3
222,3
223,1
224,8
225,2
226,4
227,9
228,9
229,1
230,8
231,8
232,4
233,9
234,1
235,7
236,3
237,5
238,3
239,8
240,6
241,3
242,6
243,2
244,3
245,3
246,5
247,8
248,2
249,3
250,5
251,9
252,4
253,1
254,2
255,8
256,6
257,6
258,1
259,4
260,3
261,6
262,5
263,3
264,5
265,7
266,6
267,7
268,8
269,3
270,1
271,6
272,6
273,6
274,3
275,8
276,8
277,1
278,2
279,8
280,4
281,0
282,2
283,5
284,5
285,5
286,8
287,7
288,4
289,9
290,9
291,2
292,7
293,7
294,9
295,9
296,8
297,8
298,6
299,3
300,3
301,0
302,9
303,8
304,2
305,7
306,3
307,7
308,1
309,4
310,5
311,8
312,5
313,9
314,9
315,2
316,3
317,8
318,4
319,1
320,8
321,9
322,1
323,1
324,9
325,8
326,4
327,0
328,1
329,5
330,8
331,6
332,3
333,1
334,3
335,9
336,9
337,9
338,0
339,4
340,4
341,8
342,3
343,1
344,2
345,4
346,8
347,8
348,3
349,8
350,2
351,8
352,7
353,7
354,7
355,5
356,2
357,3
358,9
359,0
360,9
361,2
362,6
363,5
364,8
365,4
366,6
367,3
368,8
369,1
370,6
371,4
372,8
373,7
374,9
375,7
376,4
377,0
378,5
379,3
380,7
381,3
382,3
383,3
384,2
385,8
386,9
387,6
388,1
389,3
390,9
391,1
392,7
393,9
394,9
395,9
396,1
397,1
398,1
399,9
400,3
401,9
402,7
403,6
404,1
405,1
406,1
407,0
408,3
409,8
410,5
411,5
412,4
413,4
414,1
415,3
416,3
417,1
418,1
419,3
420,5
421,2
422,6
423,6
424,5
425,3
426,1
427,4
428,4
429,9
430,7
431,4
432,8
433,5
434,3
435,8
436,1
437,3
438,9
439,3
440,5
441,8
442,4
443,7
444,4
445,4
446,4
447,1
448,3
449,3
450,9
451,0
452,7
453,0
454,9
455,5
456,9
457,5
458,3
459,0
460,8
461,4
462,7
463,5
464,0
465,5
466,1
467,7
468,4
469,4
470,1
471,1
472,6
473,9
474,6
475,9
476,0
477,1
478,3
479,1
480,8
481,4
482,8
483,1
484,2
485,7
486,0
487,4
488,0
489,5
490,7
491,7
492,4
493,7
494,4
495,3
496,0
497,8
498,2
499,8
500,9
501,8
502,3
503,9
504,6
505,1
506,2
507,0
508,3
509,6
510,2
511,7
512,0
513,8
514,7
515,8
516,3
517,5
518,7
519,1
520,5
521,4
522,2
523,4
524,7
525,7
526,1
527,0
528,1
529,1
530,7
531,0
532,5
533,3
534,8
535,8
536,5
537,6
538,5
539,6
540,8
541,2
542,2
543,8
544,2
545,0
546,6
547,6
548,4
549,2
550,1
551,1
552,3
553,3
554,5
555,2
556,0
557,7
558,3
559,6
560,2
561,6
562,3
563,6
564,1
565,3
566,3
567,4
568,1
569,1
570,9
571,6
572,3
573,3
574,6
575,6
576,4
577,8
578,8
579,4
580,3
581,5
582,1
583,5
584,4
585,7
586,1
587,4
588,3
589,8
590,6
591,8
592,8
593,1
594,5
595,3
596,6
597,8
598,6
599,3
600,3
601,8
602,1
603,7
604,1
605,0
606,3
607,8
608,5
609,2
610,1
611,7
612,6
613,3
614,2
615,3
616,6
617,7
618,0
619,0
620,7
621,8
622,5
623,4
624,0
625,4
626,8
627,8
628,3
629,0
630,5
631,6
632,1
633,8
634,6
635,1
636,4
637,7
638,7
